Slot,NSR
1,2046.0525465
2,2046.0525465
3,2046.0525465
4,2046.0525465
5,2046.0525465
6,2046.0525465
7,2046.0525465
8,2046.0525465
9,2046.0525465
10,2046.0525465
11,2046.0525465
12,2046.0525465
13,2046.0525465
14,2046.0525465
15,2046.0525465
16,2046.0525465
17,2046.0525465
18,2046.0525465
19,2046.0525465
20,2046.0525465
21,2046.0525465
22,2046.0525465
23,2046.0525465
24,2046.0525465
25,2046.0525465
26,2046.0525465
27,2046.0525465
28,2046.0525465
29,2046.0525465
30,2046.0525465
31,2046.0525465
32,2046.0525465
33,2046.0525465
34,2046.0525465
35,2046.0525465
36,2046.0525465
37,3291.66521805
38,3291.66521805
39,3291.66521805
40,3291.66521805
41,3291.66521805
42,3291.66521805
43,3291.66521805
44,3291.66521805
45,3291.66521805
46,3291.66521805
47,3291.66521805
48,3291.66521805
49,3291.66521805
50,3291.66521805
51,3291.66521805
52,3291.66521805
53,3291.66521805
54,3291.66521805
55,3291.66521805
56,3291.66521805
57,3291.66521805
58,3291.66521805
59,3291.66521805
60,3291.66521805
61,3291.66521805
62,3291.66521805
63,3291.66521805
64,3291.66521805
65,3291.66521805
66,3291.66521805
67,3291.66521805
68,3291.66521805
69,3291.66521805
70,3291.66521805
71,3291.66521805
72,3291.66521805
73,3291.66521805
74,3291.66521805
75,3291.66521805
76,3291.66521805
77,3291.66521805
78,3291.66521805
79,3291.66521805
80,3291.66521805
81,3291.66521805
82,3291.66521805
83,3291.66521805
84,3291.66521805
85,2592.7535642
86,2592.7535642
87,2592.7535642
88,2592.7535642
89,2592.7535642
90,2592.7535642
91,2592.7535642
92,2592.7535642
93,2592.7535642
94,2592.7535642
95,2592.7535642
96,2592.7535642
97,2592.7535642
98,2592.7535642
99,2592.7535642
100,2592.7535642
101,2592.7535642
102,2592.7535642
103,2592.7535642
104,2592.7535642
105,2592.7535642
106,2592.7535642
107,2592.7535642
108,2592.7535642
109,2592.7535642
110,2592.7535642
111,2592.7535642
112,2592.7535642
113,2592.7535642
114,2592.7535642
115,2592.7535642
116,2592.7535642
117,2592.7535642
118,2592.7535642
119,2592.7535642
120,2592.7535642
121,2592.7535642
122,2592.7535642
123,2592.7535642
124,2592.7535642
125,2592.7535642
126,2592.7535642
127,2592.7535642
128,2592.7535642
129,2592.7535642
130,2592.7535642
131,2592.7535642
132,2592.7535642
133,1983.7469916
134,1983.7469916
135,1983.7469916
136,1983.7469916
137,1983.7469916
138,1983.7469916
139,1983.7469916
140,1983.7469916
141,1983.7469916
142,1983.7469916
143,1983.7469916
144,1983.7469916
145,1983.7469916
146,1983.7469916
147,1983.7469916
148,1983.7469916
149,1983.7469916
150,1983.7469916
151,1983.7469916
152,1983.7469916
153,1983.7469916
154,1983.7469916
155,1983.7469916
156,1983.7469916
157,1983.7469916
158,1983.7469916
159,1983.7469916
160,1983.7469916
161,1983.7469916
162,1983.7469916
163,1983.7469916
164,1983.7469916
165,1983.7469916
166,1983.7469916
167,1983.7469916
168,1983.7469916
169,1983.7469916
170,1983.7469916
171,1983.7469916
172,1983.7469916
173,1983.7469916
174,1983.7469916
175,1983.7469916
176,1983.7469916
177,1983.7469916
178,1983.7469916
179,1983.7469916
180,1983.7469916
181,1854.42696285
182,1854.42696285
183,1854.42696285
184,1854.42696285
185,1854.42696285
186,1854.42696285
187,1854.42696285
188,1854.42696285
189,1854.42696285
190,1854.42696285
191,1854.42696285
192,1854.42696285
193,1854.42696285
194,1854.42696285
195,1854.42696285
196,1854.42696285
197,1854.42696285
198,1854.42696285
199,1854.42696285
200,1854.42696285
201,1854.42696285
202,1854.42696285
203,1854.42696285
204,1854.42696285
205,1854.42696285
206,1854.42696285
207,1854.42696285
208,1854.42696285
209,1854.42696285
210,1854.42696285
211,1854.42696285
212,1854.42696285
213,1854.42696285
214,1854.42696285
215,1854.42696285
216,1854.42696285
217,1854.42696285
218,1854.42696285
219,1854.42696285
220,1854.42696285
221,1854.42696285
222,1854.42696285
223,1854.42696285
224,1854.42696285
225,1854.42696285
226,1854.42696285
227,1854.42696285
228,1854.42696285
229,1569.31429295
230,1569.31429295
231,1569.31429295
232,1569.31429295
233,1569.31429295
234,1569.31429295
235,1569.31429295
236,1569.31429295
237,1569.31429295
238,1569.31429295
239,1569.31429295
240,1569.31429295
241,1569.31429295
242,1569.31429295
243,1569.31429295
244,1569.31429295
245,1569.31429295
246,1569.31429295
247,1569.31429295
248,1569.31429295
249,1569.31429295
250,1569.31429295
251,1569.31429295
252,1569.31429295
253,1569.31429295
254,1569.31429295
255,1569.31429295
256,1569.31429295
257,1569.31429295
258,1569.31429295
259,1569.31429295
260,1569.31429295
261,1569.31429295
262,1569.31429295
263,1569.31429295
264,1569.31429295
265,1569.31429295
266,1569.31429295
267,1569.31429295
268,1569.31429295
269,1569.31429295
270,1569.31429295
271,1569.31429295
272,1569.31429295
273,1569.31429295
274,1569.31429295
275,1569.31429295
276,1569.31429295
277,2046.0525465
278,2046.0525465
279,2046.0525465
280,2046.0525465
281,2046.0525465
282,2046.0525465
283,2046.0525465
284,2046.0525465
285,2046.0525465
286,2046.0525465
287,2046.0525465
288,2046.0525465
